	宅急送	远成物流	佳吉快递	EMS	韵达快递	申通快递	全峰快递	新邦物流	顺丰快递	德邦	优速快递	汇通快递	增益速递	飞豹快递	天天快递	安能物流	DHL	瑞丰速递	中铁	中铁快运	快捷快递	中通快递	全一	广通速递	龙邦速运	速尔快递	国通快递	邮政国内	圆通快递	天地华宇
红安县	1	0	0	0	14	1	2	0	0	1	2	1	2	0	1	1	0	0	0	0	0	1	0	0	0	2	1	0	2	0
西塞山区	3	0	0	0	9	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	3	0
咸安区	5	0	0	0	19	1	1	0	1	2	1	5	1	1	2	1	0	0	0	0	4	1	0	0	1	1	1	0	2	1
远安县	1	0	0	0	4	1	1	0	0	0	1	4	0	0	0	2	0	0	0	0	0	2	0	0	1	1	1	0	2	0
广水市	3	0	0	0	17	1	2	0	0	1	2	2	1	0	1	0	0	0	0	0	1	1	0	1	1	1	2	0	1	0
松滋市	3	0	0	0	34	2	3	0	0	1	1	3	1	0	1	2	0	0	0	0	0	1	0	0	2	2	1	0	1	0
孝南区	6	0	1	0	36	1	3	0	1	4	1	6	1	0	2	1	0	0	0	1	0	1	2	0	1	2	1	0	1	1
黄陂区	4	0	1	0	47	1	8	0	0	7	6	3	1	0	1	5	0	0	0	0	1	6	0	0	1	1	2	0	4	1
郧县	1	0	0	0	4	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	2	0	2	0	1	0
云梦县	2	0	0	0	5	1	1	0	1	1	1	1	1	0	2	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0
应城市	1	0	0	0	10	2	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	2	0	0	1	1	1	0	1	0
江夏区	10	0	4	0	91	1	9	0	0	8	9	9	5	0	2	11	0	0	0	0	5	7	0	0	7	7	3	0	4	1
襄州区	5	0	0	0	9	1	3	0	1	3	2	8	1	0	3	4	0	0	0	0	0	0	0	0	1	0	2	0	7	0
铁山区	1	0	0	0	2	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0
谷城县	2	0	0	0	11	1	3	0	1	1	1	2	1	0	1	1	0	0	0	0	0	2	0	0	2	2	1	0	2	0
沙市区	4	0	1	0	37	4	3	0	1	6	1	12	1	0	1	7	0	0	0	0	1	4	0	0	2	2	2	0	3	1
巴东县	1	0	0	0	10	1	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	2	0
蕲春县	2	0	0	0	7	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	2	0	0	1	1	1	0	2	1
利川市	1	0	0	0	12	1	1	0	1	1	2	5	0	0	1	1	0	0	0	1	1	3	0	0	2	2	1	0	2	0
掇刀区	3	0	0	0	21	1	2	0	1	1	1	4	1	0	1	2	0	0	0	0	0	1	0	0	1	1	1	0	2	1
沙洋县	1	0	0	0	8	2	2	0	0	0	2	1	1	0	1	1	0	0	0	0	0	2	0	0	1	1	1	0	2	0
京山县	2	0	0	0	9	2	2	0	0	0	1	3	2	0	2	3	0	0	0	0	0	4	0	1	2	1	1	0	2	0
英山县	1	0	0	0	7	2	1	0	0	0	1	1	1	0	1	2	0	0	0	0	0	2	0	0	1	1	1	0	1	0
嘉鱼县	1	0	0	0	13	1	1	0	0	1	1	2	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0
荆州区	5	0	0	0	17	1	4	0	0	1	3	5	1	0	1	2	0	0	0	0	0	5	0	0	1	1	4	0	2	0
赤壁市	1	0	0	0	6	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	4	1	1	1	1	1	0	1	0
保康县	1	0	0	0	9	2	2	0	1	0	1	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	1	0
罗田县	1	0	0	0	8	1	1	0	0	0	1	1	1	0	1	2	0	0	0	0	0	1	0	0	2	1	2	0	1	0
武穴市	1	0	0	0	10	1	2	0	1	1	1	1	1	0	3	2	0	0	1	0	0	1	0	0	0	1	2	0	1	0
猇亭区	1	0	0	0	4	1	3	0	1	1	1	2	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0
公安县	2	0	0	0	11	2	4	0	0	1	1	2	1	0	1	2	0	0	0	0	2	2	0	0	2	1	1	0	4	0
黄梅县	1	0	0	0	11	1	2	0	0	1	1	2	2	0	1	2	0	0	0	0	1	1	0	0	1	1	1	0	1	0
东西湖区	14	0	8	0	76	1	11	2	1	9	8	7	2	0	2	10	1	0	0	0	2	7	0	0	2	2	1	0	7	1
洪山区	3	0	1	0	205	4	18	1	1	7	8	19	5	0	6	6	1	0	0	0	6	8	0	0	5	5	11	0	4	3
天门市	1	0	0	0	33	1	1	0	1	3	1	1	1	0	0	1	0	0	0	0	0	3	0	0	1	1	1	0	1	0
五峰	1	0	0	0	9	1	2	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	2	0	1	0
宜都市	2	0	1	0	5	1	2	0	0	1	1	1	1	0	2	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1
青山区	1	0	0	0	75	3	6	0	0	3	6	5	2	0	1	1	0	0	0	0	2	14	0	0	1	1	1	0	4	1
黄州区	5	0	0	0	13	2	1	0	0	2	1	6	1	0	1	1	0	0	0	0	0	2	0	1	1	1	1	0	1	1
宜城市	2	0	0	0	12	1	3	0	0	1	2	1	1	0	1	1	0	0	0	0	1	1	0	0	2	1	2	0	1	0
来凤县	2	0	0	0	9	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	2	0	1	0	1	0
大冶市	1	0	0	0	23	3	1	0	0	2	1	0	1	0	1	1	0	0	0	0	2	1	0	1	1	1	1	0	2	0
郧西县	2	0	0	0	3	1	1	0	1	0	1	2	0	0	2	0	0	0	0	0	0	1	0	0	2	2	1	0	2	0
汉阳区	12	0	2	0	84	1	11	2	1	8	14	13	2	0	2	3	1	0	0	0	1	5	0	1	2	3	1	0	11	3
丹江口市	4	0	0	0	13	2	3	0	2	1	2	2	0	0	5	1	0	0	0	0	1	3	0	0	2	2	2	0	2	0
夷陵区	0	0	1	0	20	1	3	0	0	2	0	6	1	0	1	2	0	0	0	0	0	2	0	0	1	1	1	0	1	0
孝昌县	3	0	0	0	1	2	1	0	0	1	1	2	1	0	1	0	0	0	0	0	0	1	0	0	2	1	1	0	2	0
枝江市	3	0	0	0	8	1	1	0	0	1	1	1	1	0	1	2	0	0	0	0	1	1	0	0	1	1	2	0	1	0
